Average Case 
	 T(n)
2360	52.000000
2370	51.000000
2380	53.000000
2390	59.000000
2400	125.000000
2410	89.000000
2420	72.000000
2430	53.000000
2440	54.000000
2450	55.000000
2460	56.000000
2470	51.000000
2480	51.000000
2490	53.000000
2500	69.000000
2510	61.000000
2520	53.000000
2530	54.000000
2540	53.000000
2550	55.000000
2560	57.000000
2570	54.000000
2580	54.000000
2590	55.000000
2600	52.000000
2610	54.000000
2620	56.000000
2630	57.000000
2640	54.000000
2650	55.000000
2660	53.000000
2670	54.000000
2680	55.000000
2690	52.000000
2700	53.000000
2710	54.000000
2720	63.000000
2730	56.000000
2740	67.000000
2750	60.000000
2760	57.000000
2770	55.000000
2780	56.000000
2790	56.000000
2800	56.000000
2810	55.000000
2820	55.000000
2830	53.000000
2840	54.000000
2850	57.000000
2860	53.000000
2870	57.000000
2880	53.000000
2890	60.000000
2900	57.000000
2910	57.000000
2920	57.000000
2930	58.000000
2940	58.000000
2950	57.000000
2960	55.000000
2970	63.000000
2980	60.000000
2990	55.000000
3000	94.000000
3010	89.000000
3020	63.000000
3030	61.000000
3040	59.000000
3050	58.000000
3060	58.000000
3070	69.000000
3080	98.000000
3090	104.000000
3100	85.000000
3110	68.000000
3120	57.000000
3130	59.000000
3140	58.000000
3150	81.000000
3160	63.000000
3170	60.000000
3180	60.000000
3190	57.000000
3200	67.000000
3210	64.000000
3220	64.000000
3230	65.000000
3240	63.000000
3250	68.000000
3260	65.000000
3270	57.000000
3280	66.000000
3290	63.000000
3300	62.000000
3310	58.000000
3320	59.000000
3330	57.000000
3340	61.000000
3350	69.000000
3360	66.000000
3370	61.000000
3380	57.000000
3390	58.000000
3400	59.000000
3410	77.000000
3420	81.000000
3430	73.000000
3440	60.000000
3450	58.000000
3460	62.000000
3470	63.000000
3480	60.000000
3490	59.000000
3500	62.000000
3510	61.000000
3520	58.000000
3530	62.000000
3540	63.000000
3550	66.000000
3560	63.000000
3570	58.000000
3580	62.000000
3590	60.000000
3600	104.000000
3610	88.000000
3620	78.000000
3630	61.000000
3640	60.000000
3650	71.000000
3660	62.000000
3670	64.000000
3680	65.000000
3690	63.000000
3700	59.000000
3710	60.000000
3720	68.000000
3730	70.000000
3740	81.000000
3750	62.000000
3760	62.000000
3770	61.000000
3780	57.000000
3790	64.000000
3800	60.000000
3810	82.000000
3820	61.000000
3830	62.000000
3840	75.000000
3850	64.000000
3860	63.000000
3870	66.000000
3880	65.000000
3890	66.000000
3900	75.000000
3910	99.000000
3920	82.000000
3930	73.000000
3940	75.000000
3950	142.000000
3960	96.000000
3970	68.000000
3980	67.000000
3990	67.000000
4000	77.000000
4010	147.000000
4020	101.000000
4030	74.000000
4040	66.000000
4050	66.000000
4060	68.000000
4070	66.000000
4080	66.000000
4090	66.000000
4100	66.000000
4110	69.000000
4120	69.000000
4130	67.000000
4140	70.000000
4150	71.000000
4160	76.000000
4170	71.000000
4180	80.000000
4190	75.000000
4200	72.000000
4210	73.000000
4220	72.000000
4230	70.000000
4240	69.000000
4250	70.000000
4260	68.000000
4270	67.000000
4280	71.000000
4290	78.000000
4300	128.000000
4310	89.000000
4320	75.000000
4330	66.000000
4340	68.000000
4350	68.000000
4360	69.000000
4370	69.000000
4380	68.000000
4390	66.000000
4400	68.000000
4410	68.000000
4420	66.000000
4430	68.000000
4440	129.000000
4450	90.000000
4460	70.000000
4470	62.000000
4480	62.000000
4490	61.000000
4500	94.000000
4510	174.000000
4520	121.000000
4530	94.000000
4540	66.000000
4550	62.000000
4560	145.000000
4570	103.000000
4580	106.000000
4590	66.000000
4600	70.000000
4610	63.000000
4620	63.000000
4630	64.000000
4640	65.000000
4650	64.000000
4660	69.000000
4670	63.000000
4680	65.000000
4690	66.000000
4700	64.000000
4710	64.000000
4720	75.000000
4730	65.000000
4740	65.000000
4750	60.000000
4760	62.000000
4770	62.000000
4780	61.000000
4790	63.000000
4800	61.000000
4810	61.000000
4820	60.000000
4830	60.000000
4840	59.000000
4850	62.000000
4860	59.000000
4870	64.000000
4880	60.000000
4890	72.000000
4900	63.000000
4910	63.000000
4920	63.000000
4930	61.000000
4940	65.000000
4950	63.000000
4960	62.000000
4970	62.000000
4980	61.000000
4990	62.000000
5000	65.000000
5010	67.000000
5020	58.000000
5030	74.000000
5040	82.000000
5050	65.000000
5060	65.000000
5070	77.000000
5080	66.000000
5090	59.000000
5100	60.000000
5110	65.000000
5120	65.000000
5130	66.000000
5140	61.000000
5150	65.000000
5160	66.000000
5170	61.000000
5180	61.000000
5190	64.000000
5200	69.000000
5210	63.000000
5220	72.000000
5230	65.000000
5240	61.000000
5250	62.000000
5260	65.000000
5270	63.000000
5280	62.000000
5290	62.000000
5300	57.000000
5310	63.000000
5320	57.000000
5330	58.000000
5340	57.000000
5350	60.000000
5360	63.000000
5370	61.000000
5380	65.000000
5390	60.000000
5400	57.000000
5410	60.000000
5420	57.000000
5430	56.000000
5440	59.000000
5450	57.000000
5460	85.000000
5470	116.000000
5480	81.000000
5490	58.000000
5500	60.000000
5510	57.000000
5520	58.000000
5530	65.000000
5540	61.000000
5550	57.000000
5560	56.000000
5570	56.000000
5580	58.000000
5590	59.000000
5600	57.000000
5610	57.000000
5620	62.000000
5630	59.000000
5640	63.000000
5650	59.000000
5660	63.000000
5670	58.000000
5680	60.000000
5690	67.000000
5700	57.000000
5710	57.000000
5720	57.000000
5730	60.000000
5740	57.000000
5750	60.000000
5760	57.000000
5770	58.000000
5780	61.000000
5790	58.000000
5800	57.000000
5810	58.000000
5820	56.000000
5830	57.000000
5840	57.000000
5850	67.000000
5860	61.000000
5870	58.000000
5880	58.000000
5890	56.000000
5900	56.000000
5910	57.000000
5920	57.000000
5930	60.000000
5940	57.000000
5950	58.000000
5960	56.000000
5970	57.000000
5980	58.000000
5990	56.000000
6000	58.000000
6010	65.000000
6020	58.000000
6030	57.000000
6040	58.000000
6050	57.000000
6060	57.000000
6070	62.000000
6080	59.000000
6090	57.000000
6100	58.000000
6110	57.000000
6120	61.000000
6130	57.000000
6140	58.000000
6150	59.000000
6160	66.000000
6170	57.000000
6180	58.000000
6190	58.000000
6200	57.000000
6210	57.000000
6220	58.000000
6230	58.000000
6240	56.000000
6250	58.000000
6260	57.000000
6270	58.000000
6280	57.000000
6290	57.000000
6300	57.000000
6310	65.000000
6320	63.000000
6330	60.000000
6340	58.000000
6350	61.000000
6360	57.000000
6370	59.000000
6380	60.000000
6390	59.000000
6400	57.000000
6410	60.000000
6420	58.000000
6430	58.000000
6440	56.000000
6450	62.000000
6460	64.000000
6470	60.000000
6480	61.000000
6490	61.000000
6500	61.000000
6510	57.000000
6520	58.000000
6530	57.000000
6540	60.000000
6550	58.000000
6560	57.000000
6570	57.000000
6580	57.000000
6590	57.000000
6600	63.000000
6610	69.000000
6620	60.000000
6630	59.000000
6640	57.000000
6650	58.000000
6660	61.000000
6670	58.000000
6680	56.000000
6690	56.000000
6700	61.000000
6710	56.000000
6720	58.000000
6730	56.000000
6740	57.000000
6750	69.000000
6760	63.000000
6770	56.000000
6780	60.000000
6790	58.000000
6800	59.000000
6810	59.000000
6820	61.000000
6830	56.000000
6840	58.000000
6850	62.000000
6860	59.000000
6870	62.000000
6880	59.000000
6890	62.000000
6900	64.000000
6910	62.000000
6920	59.000000
6930	58.000000
6940	61.000000
6950	60.000000
6960	57.000000
6970	57.000000
6980	57.000000
6990	60.000000
7000	59.000000
7010	60.000000
7020	62.000000
7030	67.000000
7040	61.000000
7050	57.000000
7060	60.000000
7070	59.000000
7080	62.000000
7090	59.000000
7100	60.000000
7110	58.000000
7120	61.000000
7130	59.000000
7140	60.000000
7150	61.000000
7160	61.000000
7170	64.000000
7180	58.000000
7190	57.000000
7200	73.000000
7210	74.000000
7220	59.000000
7230	57.000000
7240	63.000000
7250	57.000000
7260	69.000000
7270	67.000000
7280	58.000000
7290	65.000000
7300	59.000000
